symbol,composite_score,bible_score,structure_score,momentum_score,volume_score,structure_pass,bias,price,rsi,atr,rel_volume,perf_week,higher_low,fractal_score,volume_quality,staircase_score
SAIC,62.0,65.0,75.0,65.0,25.0,True,LONG,101.79000091552734,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
ABSI,62.0,65.0,75.0,65.0,25.0,True,LONG,3.7300000190734863,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
ASTS,62.0,65.0,75.0,65.0,25.0,True,LONG,72.6500015258789,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
CAPR,62.0,65.0,75.0,65.0,25.0,True,LONG,25.399999618530273,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
CRWG,62.0,65.0,75.0,65.0,25.0,True,LONG,4.550000190734863,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
ENPH,62.0,65.0,75.0,65.0,25.0,True,LONG,30.760000228881836,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
HIMZ,62.0,65.0,75.0,65.0,25.0,True,LONG,9.289999961853027,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
IRBT,62.0,65.0,75.0,65.0,25.0,True,LONG,3.0299999713897705,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
KROS,62.0,65.0,75.0,65.0,25.0,True,LONG,20.270000457763672,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
LAZR,62.0,65.0,75.0,65.0,25.0,True,LONG,1.0299999713897705,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
METU,62.0,65.0,75.0,65.0,25.0,True,LONG,32.880001068115234,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
OCUL,62.0,65.0,75.0,65.0,25.0,True,LONG,12.430000305175781,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
PMCB,62.0,65.0,75.0,65.0,25.0,True,LONG,1.2100000381469727,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
PRME,62.0,65.0,75.0,65.0,25.0,True,LONG,3.8499999046325684,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
QCLS,62.0,65.0,75.0,65.0,25.0,True,LONG,6.920000076293945,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
SANA,62.0,65.0,75.0,65.0,25.0,True,LONG,5.179999828338623,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
SGMO,62.0,65.0,75.0,65.0,25.0,True,LONG,0.5300999879837036,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
SLS,62.0,65.0,75.0,65.0,25.0,True,LONG,1.7400000095367432,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
UAL,62.0,65.0,75.0,65.0,25.0,True,LONG,104.7300033569336,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
URBN,62.0,65.0,75.0,65.0,25.0,True,LONG,75.72000122070312,55.0,2.5,1.5,3.0,True,26.0,19.5,19.5
